股票代码,股票简称,个股热度[20251224],个股热度排名[20251224],market_code,code,最新价,最新涨跌幅
002171.SZ,楚江新材,44534.0,321,33,002171,12.49,1.7100977198697138
600468.SH,百利电气,44410.0,322,17,600468,7.07,0.855920114122689
600467.SH,好当家,44282.5,323,17,600467,2.8,5.26315789473683
002187.SZ,广百股份,44265.5,324,33,002187,8.04,-3.597122302158282
300620.SZ,光库科技,44178.5,325,33,300620,157.42,-2.526315789473692
600839.SH,四川长虹,44147.0,326,17,600839,9.1,0.330760749724359
300290.SZ,荣科科技,44141.0,327,33,300290,31.72,9.909909909909908
688102.SH,斯瑞新材,44048.0,328,17,688102,36.1,9.493478920230519
300252.SZ,金信诺,43988.5,329,33,300252,14.79,5.0426136363636305
600201.SH,生物股份,43969.0,330,17,600201,15.6,-7.692307692307686
002326.SZ,永太科技,43892.5,331,33,002326,24.77,0.8961303462321746
001280.SZ,中国铀业,43724.5,332,33,001280,62.93,1.1411121825779507
600143.SH,金发科技,43365.5,333,17,600143,18.45,1.0405257393209075
300604.SZ,长川科技,43259.0,334,33,300604,98.79,1.7509527242764473
002853.SZ,皮阿诺,42964.0,335,33,002853,21.88,-4.035087719298253
002436.SZ,兴森科技,42889.0,336,33,002436,21.21,5.3128103277060585
605003.SH,众望布艺,42606.5,337,17,605003,26.3,9.995817649519031
300115.SZ,长盈精密,42354.5,338,33,300115,37.09,1.2281659388646367
002230.SZ,科大讯飞,42136.5,339,33,002230,48.73,0.22624434389140155
002402.SZ,和而泰,42031.5,340,33,002402,39.08,0.6697578567748532
002213.SZ,大为股份,41893.5,341,33,002213,26.74,3.0443159922928675
300812.SZ,易天股份,41808.0,342,33,300812,30.4,11.846946284032372
600584.SH,长电科技,41691.5,343,17,600584,37.12,1.3377013377013236
002879.SZ,长缆科技,41581.5,344,33,002879,19.4,4.695089044792215
301216.SZ,万凯新材,41544.5,345,33,301216,17.52,0.6896551724137989
000703.SZ,恒逸石化,41534.5,346,33,000703,9.34,9.239766081871334
688256.SH,寒武纪,41505.5,347,17,688256,1326.2,-0.735018936842258
605167.SH,利柏特,41406.5,348,17,605167,13.65,-1.93965517241379
600703.SH,三安光电,41257.5,349,17,600703,13.48,2.043906131718392
300803.SZ,指南针,41248.5,350,33,300803,133.18,3.0246770325674914
002738.SZ,中矿资源,41097.0,351,33,002738,75.38,5.692652832305107
601006.SH,大秦铁路,40838.0,352,17,601006,5.29,-0.3766478342749449
300346.SZ,南大光电,40815.5,353,33,300346,46.17,0.6320836965998238
002810.SZ,山东赫达,40741.5,354,33,002810,15.8,-1.1882426516572826
002812.SZ,恩捷股份,40731.5,355,33,002812,51.92,0.6982156710628383
003029.SZ,吉大正元,40622.0,356,33,003029,27.56,0.694190719766159
001287.SZ,中电港,40613.0,357,33,001287,22.52,4.744186046511626
000753.SZ,漳州发展,40532.0,358,33,000753,8.59,0.7033997655334173
002123.SZ,梦网科技,40475.5,359,33,002123,12.75,-0.46838407494145584
300045.SZ,华力创通,40419.0,360,33,300045,25.56,4.369130257247858
600733.SH,北汽蓝谷,40274.5,361,17,600733,8.18,-0.1221001221001195
300260.SZ,新莱应材,39672.5,362,33,300260,57.0,-1.0244834172599468
301205.SZ,联特科技,39642.0,363,33,301205,180.29,-3.2727077632920194
603011.SH,合锻智能,39499.5,364,17,603011,22.71,2.667269439421337
000695.SZ,滨海能源,39491.0,365,33,000695,13.08,-3.823529411764703
603703.SH,盛洋科技,39418.0,366,17,603703,13.43,1.7424242424242458
300751.SZ,迈为股份,39323.0,367,33,300751,167.09,4.209804166146938
603679.SH,华体科技,39171.5,368,17,603679,15.41,-1.5335463258785955
300468.SZ,四方精创,39093.5,369,33,300468,34.07,1.944943147815675
002284.SZ,亚太股份,39068.0,370,33,002284,15.93,5.079155672823216
605580.SH,恒盛能源,38983.0,371,17,605580,28.15,-10.00639386189259
300990.SZ,同飞股份,38960.5,372,33,300990,96.35,3.6021505376344023
300552.SZ,万集科技,38709.5,373,33,300552,32.07,4.496578690127073
